Id,Creation Time,Owner,Tags,Running Time,logs/seed,logs/company,logs/imputation,logs/missingness,logs/smape (last),properties/data
EX4-510,2021-08-04 21:42:19,mavantwout,"[""4-year"",""single_run"",""3D-prediction"",""seed4"",""shifted30"",""20-predictions"",""20-step-ahead"",""presence""]",266.129,4,KO,globalmean,90,0.006242097206663031,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-509,2021-08-04 21:41:44,mavantwout,"[""20-predictions"",""time-lag"",""4-year"",""single_run"",""20-step-ahead"",""seed4"",""shifted30"",""7D-prediction""]",322.646,4,KO,5_imputations_combined,33,0.006007668996679592,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-507,2021-08-04 21:40:47,mavantwout,"[""20-predictions"",""single_run"",""4-year"",""3D-prediction"",""shifted30"",""presence"",""20-step-ahead"",""seed3""]",326.816,3,KO,cubicfit260,90,0.01944290411687307,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-506,2021-08-04 21:40:35,mavantwout,"[""3D-prediction"",""single_run"",""seed3"",""20-step-ahead"",""shifted30"",""presence"",""20-predictions"",""4-year""]",328.305,3,KO,forwardfill,90,0.006668991061703368,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-505,2021-08-04 21:40:14,mavantwout,"[""single_run"",""4-year"",""7D-prediction"",""shifted30"",""seed3"",""20-predictions"",""time-lag"",""20-step-ahead""]",356.737,3,KO,5_imputations_combined,985,0.005962349182278723,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-504,2021-08-04 21:40:14,mavantwout,"[""20-step-ahead"",""20-predictions"",""4-year"",""shifted30"",""time-lag"",""7D-prediction"",""seed3"",""single_run""]",357.097,3,KO,5_imputations_combined,90,0.00601410042421602,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-503,2021-08-04 21:40:02,mavantwout,"[""seed3"",""shifted30"",""single_run"",""3D-prediction"",""4-year"",""20-predictions"",""20-step-ahead"",""presence""]",312.395,3,KO,linearfit260,90,0.006263789975701146,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-502,2021-08-04 21:39:45,mavantwout,"[""time-lag"",""20-predictions"",""20-step-ahead"",""single_run"",""4-year"",""seed3"",""shifted30"",""3D-prediction""]",322.027,3,KO,forwardfill,90,0.04270163881637108,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-501,2021-08-04 21:39:42,mavantwout,"[""7D-prediction"",""20-predictions"",""presence"",""single_run"",""seed4"",""4-year"",""shifted30"",""20-step-ahead""]",321.648,4,KO,5_imputations_combined,985,0.00747512009386767,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-500,2021-08-04 21:39:32,mavantwout,"[""time-lag"",""seed3"",""20-predictions"",""4-year"",""single_run"",""20-step-ahead"",""3D-prediction"",""shifted30""]",316.785,3,KO,linearfit260,90,0.0433035536307127,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-499,2021-08-04 21:39:32,mavantwout,"[""seed3"",""20-step-ahead"",""time-lag"",""4-year"",""single_run"",""3D-prediction"",""20-predictions"",""shifted30""]",312.346,3,KO,globalmean,90,0.03384694846347884,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-498,2021-08-04 21:39:30,mavantwout,"[""4-year"",""time-lag"",""20-predictions"",""3D-prediction"",""20-step-ahead"",""shifted30"",""seed3"",""single_run""]",316.246,3,KO,cubicfit260,90,0.006031543474204214,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-497,2021-08-04 21:39:26,mavantwout,"[""4-year"",""single_run"",""20-step-ahead"",""presence"",""3D-prediction"",""20-predictions"",""seed3"",""shifted30""]",286.317,3,KO,forwardfill,985,0.0439495315960551,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-496,2021-08-04 21:39:10,mavantwout,"[""20-step-ahead"",""3D-prediction"",""time-lag"",""single_run"",""20-predictions"",""shifted30"",""4-year"",""seed3""]",307.143,3,KO,meanlast260,90,0.0061199436087700015,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-495,2021-08-04 21:39:08,mavantwout,"[""shifted30"",""4-year"",""presence"",""seed3"",""3D-prediction"",""20-predictions"",""20-step-ahead"",""single_run""]",347.098,3,KO,forwardfill,33,0.006008288957705931,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-494,2021-08-04 21:39:00,mavantwout,"[""3D-prediction"",""seed2"",""4-year"",""20-step-ahead"",""presence"",""single_run"",""20-predictions"",""shifted30""]",322.895,2,KO,linearfit260,985,0.07001154549711157,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-493,2021-08-04 21:38:57,mavantwout,"[""20-predictions"",""shifted30"",""3D-prediction"",""seed3"",""4-year"",""single_run"",""presence"",""20-step-ahead""]",342.98,3,KO,meanlast260,33,0.007296809410464777,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-492,2021-08-04 21:38:54,mavantwout,"[""shifted30"",""7D-prediction"",""single_run"",""20-predictions"",""20-step-ahead"",""seed4"",""4-year"",""presence""]",312.915,4,KO,5_imputations_combined,90,0.0061118332108337815,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-491,2021-08-04 21:38:53,mavantwout,"[""3D-prediction"",""time-lag"",""shifted30"",""4-year"",""seed3"",""20-predictions"",""single_run"",""20-step-ahead""]",327.539,3,KO,linearfit260,33,0.007245598589880114,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-490,2021-08-04 21:38:51,mavantwout,"[""seed3"",""4-year"",""20-step-ahead"",""single_run"",""20-predictions"",""3D-prediction"",""shifted30"",""presence""]",336.744,3,KO,linearfit260,33,0.018156110385102255,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-489,2021-08-04 21:38:43,mavantwout,"[""seed3"",""20-step-ahead"",""shifted30"",""3D-prediction"",""presence"",""single_run"",""4-year"",""20-predictions""]",337.027,3,KO,globalmean,33,0.006726030945779821,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-488,2021-08-04 21:38:39,mavantwout,"[""presence"",""single_run"",""4-year"",""20-step-ahead"",""seed3"",""3D-prediction"",""shifted30"",""20-predictions""]",261.411,3,KO,globalmean,985,0.006175069657877404,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-487,2021-08-04 21:38:37,mavantwout,"[""7D-prediction"",""shifted30"",""seed4"",""20-step-ahead"",""4-year"",""presence"",""20-predictions"",""single_run""]",312.185,4,KO,5_imputations_combined,33,0.0073455723992958185,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-486,2021-08-04 21:38:30,mavantwout,"[""20-predictions"",""presence"",""seed3"",""4-year"",""20-step-ahead"",""shifted30"",""3D-prediction"",""single_run""]",276.434,3,KO,meanlast260,90,0.00627505620595802,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-485,2021-08-04 21:38:26,mavantwout,"[""3D-prediction"",""4-year"",""shifted30"",""20-predictions"",""time-lag"",""seed3"",""20-step-ahead"",""single_run""]",316.295,3,KO,meanlast260,33,0.006846577653445557,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-484,2021-08-04 21:38:25,mavantwout,"[""single_run"",""4-year"",""20-step-ahead"",""3D-prediction"",""time-lag"",""seed3"",""20-predictions"",""shifted30""]",317.486,3,KO,cubicfit260,33,0.006920449008622917,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-483,2021-08-04 21:38:18,mavantwout,"[""20-predictions"",""4-year"",""single_run"",""3D-prediction"",""20-step-ahead"",""shifted30"",""time-lag"",""seed3""]",312.075,3,KO,forwardfill,33,0.015455401071284014,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-482,2021-08-04 21:38:13,mavantwout,"[""shifted30"",""20-step-ahead"",""4-year"",""seed3"",""3D-prediction"",""single_run"",""presence"",""20-predictions""]",312.646,3,KO,cubicfit260,33,0.006665482185081281,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-481,2021-08-04 21:37:52,mavantwout,"[""4-year"",""single_run"",""3D-prediction"",""seed3"",""shifted30"",""20-predictions"",""20-step-ahead"",""presence""]",266.163,3,KO,globalmean,90,0.0736386143966282,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
