Id,Creation Time,Owner,Tags,Running Time,logs/smape (average),logs/company,logs/imputation,logs/seed
EX5-171,2021-08-05 10:51:30,mavantwout,"[""20-step-ahead"",""single_run"",""quarterly"",""seed4"",""time-lag"",""20-predictions"",""4-year"",""7D-prediction""]",306.576,0.005937738350119989,KO,forwardfill,4
EX5-170,2021-08-05 10:51:15,mavantwout,"[""20-step-ahead"",""presence"",""20-predictions"",""single_run"",""seed4"",""7D-prediction"",""quarterly"",""4-year""]",301.732,0.036185770242456124,KO,cubicfit260,4
EX5-169,2021-08-05 10:51:11,mavantwout,"[""seed4"",""7D-prediction"",""single_run"",""20-predictions"",""quarterly"",""20-step-ahead"",""presence"",""4-year""]",301.53,0.0060140387813905575,KO,linearfit260,4
EX5-168,2021-08-05 10:49:53,mavantwout,"[""quarterly"",""single_run"",""4-year"",""time-lag"",""7D-prediction"",""seed3"",""20-step-ahead"",""20-predictions""]",361.408,0.0071447698388779745,KO,linearfit260,3
EX5-167,2021-08-05 10:49:53,mavantwout,"[""seed3"",""7D-prediction"",""time-lag"",""20-step-ahead"",""quarterly"",""20-predictions"",""single_run"",""4-year""]",361.6,0.00600938312405067,KO,meanlast260,3
EX5-166,2021-08-05 10:48:46,mavantwout,"[""time-lag"",""quarterly"",""4-year"",""7D-prediction"",""20-predictions"",""single_run"",""seed3"",""20-step-ahead""]",337.125,0.006053839892805985,KO,cubicfit260,3
EX5-165,2021-08-05 10:48:41,mavantwout,"[""20-step-ahead"",""4-year"",""quarterly"",""seed3"",""single_run"",""20-predictions"",""7D-prediction"",""presence""]",336.388,0.027697625154598303,KO,forwardfill,3
EX5-164,2021-08-05 10:48:28,mavantwout,"[""20-step-ahead"",""single_run"",""seed3"",""20-predictions"",""presence"",""7D-prediction"",""quarterly"",""4-year""]",336.526,0.006878661179348077,KO,globalmean,3
EX5-163,2021-08-05 10:48:14,mavantwout,"[""7D-prediction"",""4-year"",""20-step-ahead"",""quarterly"",""presence"",""20-predictions"",""single_run"",""seed3""]",331.635,0.006208504992216715,KO,meanlast260,3
EX5-162,2021-08-05 10:47:55,mavantwout,"[""single_run"",""time-lag"",""20-step-ahead"",""quarterly"",""7D-prediction"",""seed3"",""20-predictions"",""4-year""]",321.35,0.04512168536005249,KO,globalmean,3
EX5-159,2021-08-05 10:46:23,mavantwout,"[""20-step-ahead"",""single_run"",""quarterly"",""seed3"",""time-lag"",""20-predictions"",""4-year"",""7D-prediction""]",306.446,0.006769097907909122,KO,forwardfill,3
EX5-158,2021-08-05 10:46:13,mavantwout,"[""20-step-ahead"",""presence"",""20-predictions"",""seed3"",""single_run"",""7D-prediction"",""quarterly"",""4-year""]",301.743,0.00633664488644056,KO,cubicfit260,3
EX5-157,2021-08-05 10:46:08,mavantwout,"[""7D-prediction"",""seed3"",""single_run"",""20-predictions"",""quarterly"",""20-step-ahead"",""presence"",""4-year""]",302.003,0.005978565744703196,KO,linearfit260,3
EX5-156,2021-08-05 10:43:51,mavantwout,"[""7D-prediction"",""time-lag"",""20-step-ahead"",""quarterly"",""seed2"",""20-predictions"",""single_run"",""4-year""]",362.211,0.04505483171108464,KO,meanlast260,2
EX5-155,2021-08-05 10:43:51,mavantwout,"[""quarterly"",""single_run"",""4-year"",""time-lag"",""seed2"",""7D-prediction"",""20-step-ahead"",""20-predictions""]",361.832,0.008125886156249923,KO,linearfit260,2
