Id,Creation Time,Owner,Tags,logs/company,logs/imputation,logs/seed
EX3-20,2021-08-04 12:48:34,mavantwout,"[""no-extra-feature"",""6D-prediction"",""4-year"",""quarterly"",""20-step-ahead"",""seed3"",""20-predictions"",""single_run""]",AAPL,meanlast260,3
EX3-19,2021-08-04 12:48:17,mavantwout,"[""20-step-ahead"",""no-extra-feature"",""11D-prediction"",""20-predictions"",""single_run"",""quarterly"",""4-year"",""seed3""]",AAPL,2_imputations_combined,3
EX3-18,2021-08-04 12:38:52,mavantwout,"[""6D-prediction"",""no-extra-feature"",""20-predictions"",""single_run"",""seed2"",""20-step-ahead"",""4-year"",""quarterly""]",AAPL,forwardfill,2
EX3-17,2021-08-04 12:35:28,mavantwout,"[""20-step-ahead"",""quarterly"",""4-year"",""6D-prediction"",""20-predictions"",""single_run"",""seed2"",""no-extra-feature""]",AAPL,globalmean,2
EX3-16,2021-08-04 12:34:09,mavantwout,"[""20-predictions"",""4-year"",""no-extra-feature"",""quarterly"",""6D-prediction"",""seed2"",""20-step-ahead"",""single_run""]",AAPL,cubicfit260,2
EX3-15,2021-08-04 12:32:29,mavantwout,"[""no-extra-feature"",""20-predictions"",""20-step-ahead"",""quarterly"",""single_run"",""6D-prediction"",""seed2"",""4-year""]",AAPL,linearfit260,2
EX3-14,2021-08-04 12:31:41,mavantwout,"[""seed2"",""no-extra-feature"",""6D-prediction"",""4-year"",""quarterly"",""20-step-ahead"",""20-predictions"",""single_run""]",AAPL,meanlast260,2
EX3-13,2021-08-04 12:27:07,mavantwout,"[""20-step-ahead"",""no-extra-feature"",""seed2"",""11D-prediction"",""20-predictions"",""single_run"",""quarterly"",""4-year""]",AAPL,2_imputations_combined,2
EX3-12,2021-08-04 12:17:59,mavantwout,"[""6D-prediction"",""no-extra-feature"",""20-predictions"",""seed1"",""single_run"",""20-step-ahead"",""4-year"",""quarterly""]",AAPL,forwardfill,1
EX3-11,2021-08-04 12:16:20,mavantwout,"[""20-step-ahead"",""quarterly"",""4-year"",""6D-prediction"",""seed1"",""20-predictions"",""single_run"",""no-extra-feature""]",AAPL,globalmean,1
EX3-10,2021-08-04 12:16:17,mavantwout,"[""20-predictions"",""4-year"",""no-extra-feature"",""quarterly"",""6D-prediction"",""seed1"",""20-step-ahead"",""single_run""]",AAPL,cubicfit260,1
EX3-9,2021-08-04 12:15:13,mavantwout,"[""no-extra-feature"",""20-predictions"",""20-step-ahead"",""quarterly"",""seed1"",""single_run"",""6D-prediction"",""4-year""]",AAPL,linearfit260,1
EX3-8,2021-08-04 12:14:48,mavantwout,"[""no-extra-feature"",""6D-prediction"",""4-year"",""quarterly"",""seed1"",""20-step-ahead"",""20-predictions"",""single_run""]",AAPL,meanlast260,1
EX3-7,2021-08-04 12:06:30,mavantwout,"[""20-step-ahead"",""no-extra-feature"",""11D-prediction"",""20-predictions"",""single_run"",""quarterly"",""seed1"",""4-year""]",AAPL,2_imputations_combined,1
EX3-6,2021-08-04 11:58:10,mavantwout,"[""20-predictions"",""4-year"",""no-extra-feature"",""quarterly"",""6D-prediction"",""seed0"",""20-step-ahead"",""single_run""]",AAPL,cubicfit260,0
EX3-5,2021-08-04 11:57:51,mavantwout,"[""no-extra-feature"",""6D-prediction"",""4-year"",""seed0"",""quarterly"",""20-step-ahead"",""20-predictions"",""single_run""]",AAPL,meanlast260,0
EX3-4,2021-08-04 11:57:51,mavantwout,"[""no-extra-feature"",""20-predictions"",""seed0"",""20-step-ahead"",""quarterly"",""single_run"",""6D-prediction"",""4-year""]",AAPL,linearfit260,0
EX3-3,2021-08-04 11:57:17,mavantwout,"[""20-step-ahead"",""quarterly"",""seed0"",""4-year"",""6D-prediction"",""20-predictions"",""single_run"",""no-extra-feature""]",AAPL,globalmean,0
EX3-2,2021-08-04 11:57:17,mavantwout,"[""6D-prediction"",""seed0"",""no-extra-feature"",""20-predictions"",""single_run"",""20-step-ahead"",""4-year"",""quarterly""]",AAPL,forwardfill,0
EX3-1,2021-08-04 11:46:12,mavantwout,"[""seed0"",""20-step-ahead"",""no-extra-feature"",""11D-prediction"",""20-predictions"",""single_run"",""quarterly"",""4-year""]",AAPL,2_imputations_combined,0
