Date,Close,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,EnterprisesValueEBITDARatio
2017-03-31,65.86000061,"470,825,780,000",30.92,20.121,2.267,52.442
2017-04-03,65.55000305,,,,,
2017-04-04,65.73000336,,,,,
2017-04-05,65.55999756,,,,,
2017-04-06,65.73000336,,,,,
2017-04-07,65.68000031,,,,,
2017-04-10,65.52999878,,,,,
2017-04-11,65.48000336,,,,,
2017-04-12,65.23000336,,,,,
2017-04-13,64.94999695,,,,,
2017-04-17,65.48000336,,,,,
2017-04-18,65.38999939,,,,,
2017-04-19,65.04000092,,,,,
2017-04-20,65.5,,,,,
2017-04-21,66.40000153,,,,,
2017-04-24,67.52999878,,,,,
2017-04-25,67.91999817,,,,,
2017-04-26,67.83000183,,,,,
2017-04-27,68.26999664,,,,,
2017-04-28,68.45999908,,,,,
2017-05-01,69.41000366,,,,,
2017-05-02,69.30000305,,,,,
2017-05-03,69.08000183,,,,,
2017-05-04,68.80999756,,,,,
2017-05-05,69,,,,,
2017-05-08,68.94000244,,,,,
2017-05-09,69.04000092,,,,,
2017-05-10,69.30999756,,,,,
2017-05-11,68.45999908,,,,,
2017-05-12,68.37999725,,,,,
2017-05-15,68.43000031,,,,,
2017-05-16,69.41000366,,,,,
2017-05-17,67.48000336,,,,,
2017-05-18,67.70999908,,,,,
2017-05-19,67.69000244,,,,,
2017-05-22,68.44999695,,,,,
2017-05-23,68.68000031,,,,,
2017-05-24,68.76999664,,,,,
2017-05-25,69.62000275,,,,,
2017-05-26,69.95999908,,,,,
2017-05-30,70.41000366,,,,,
2017-05-31,69.83999634,,,,,
2017-06-01,70.09999847,,,,,
2017-06-02,71.76000214,,,,,
2017-06-05,72.27999878,,,,,
2017-06-06,72.51999664,,,,,
2017-06-07,72.38999939,,,,,
2017-06-08,71.94999695,,,,,
2017-06-09,70.31999969,,,,,
2017-06-12,69.77999878,,,,,
2017-06-13,70.65000153,,,,,
2017-06-14,70.26999664,,,,,
2017-06-15,69.90000153,,,,,
2017-06-16,70,,,,,
2017-06-19,70.87000275,,,,,
2017-06-20,69.91000366,,,,,
2017-06-21,70.26999664,,,,,
2017-06-22,70.26000214,,,,,
2017-06-23,71.20999908,,,,,
2017-06-26,70.52999878,,,,,
2017-06-27,69.20999908,,,,,
2017-06-28,69.80000305,,,,,
2017-06-29,68.48999786,,,,,
2017-06-30,68.93000031,"489,302,440,000",30.366,20.325,1.904,57.275
2017-07-03,68.16999817,,,,,
2017-07-05,69.08000183,,,,,
2017-07-06,68.56999969,,,,,
2017-07-07,69.45999908,,,,,
2017-07-10,69.98000336,,,,,
2017-07-11,69.98999786,,,,,
