Date,Close,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,EnterprisesValueEBITDARatio
2017-03-31,42.43999863,"204,854,120,000",28.483,22.676,5.674,101.063
2017-04-03,42.40999985,,,,,
2017-04-04,42.68000031,,,,,
2017-04-05,42.56999969,,,,,
2017-04-06,42.66999817,,,,,
2017-04-07,42.61000061,,,,,
2017-04-10,42.68999863,,,,,
2017-04-11,42.65999985,,,,,
2017-04-12,42.93999863,,,,,
2017-04-13,42.79000092,,,,,
2017-04-17,43.06999969,,,,,
2017-04-18,43.47999954,,,,,
2017-04-19,43.22999954,,,,,
2017-04-20,43.09000015,,,,,
2017-04-21,43.06999969,,,,,
2017-04-24,43.27999878,,,,,
2017-04-25,43.11000061,,,,,
2017-04-26,43.24000168,,,,,
2017-04-27,43.00999832,,,,,
2017-04-28,43.15000153,,,,,
2017-05-01,43.22000122,,,,,
2017-05-02,43.38999939,,,,,
2017-05-03,43.31999969,,,,,
2017-05-04,43.65999985,,,,,
2017-05-05,43.68999863,,,,,
2017-05-08,43.88999939,,,,,
2017-05-09,43.50999832,,,,,
2017-05-10,43.56999969,,,,,
2017-05-11,43.66999817,,,,,
2017-05-12,43.59000015,,,,,
2017-05-15,43.72999954,,,,,
2017-05-16,43.84999847,,,,,
2017-05-17,43.93000031,,,,,
2017-05-18,43.79999924,,,,,
2017-05-19,43.90000153,,,,,
2017-05-22,44.18000031,,,,,
2017-05-23,44.38999939,,,,,
2017-05-24,45.02999878,,,,,
2017-05-25,45.40999985,,,,,
2017-05-26,45.38999939,,,,,
2017-05-30,45.43000031,,,,,
2017-05-31,45.47000122,,,,,
2017-06-01,45.79000092,,,,,
2017-06-02,45.88999939,,,,,
2017-06-05,45.99000168,,,,,
2017-06-06,45.97999954,,,,,
2017-06-07,45.50999832,,,,,
2017-06-08,45.13000107,,,,,
2017-06-09,45.31999969,,,,,
2017-06-12,45.33000183,,,,,
2017-06-13,45.02999878,,,,,
2017-06-14,45.29999924,,,,,
