Id,Creation Time,Owner,Tags,logs/missingness,logs/seed,logs/imputation,logs/company,logs/smape (last),Running Time,properties/data
EX2-180,2021-08-04 18:53:00,mavantwout,"[""single_run"",""shifted30"",""2D-prediction"",""20-step-ahead"",""20-predictions"",""4-year"",""seed1""]",33,1,forwardfill,MSFT,0.029151371831130413,316.752,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-179,2021-08-04 18:52:39,mavantwout,"[""seed0"",""single_run"",""20-predictions"",""6D-prediction"",""4-year"",""20-step-ahead"",""shifted30""]",33,0,5_imputations_combined,KO,0.009283430013823037,338.018,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX2-178,2021-08-04 18:47:37,mavantwout,"[""single_run"",""seed0"",""shifted30"",""2D-prediction"",""20-step-ahead"",""20-predictions"",""4-year""]",33,0,forwardfill,MSFT,0.04846424759857333,322.354,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-177,2021-08-04 16:07:22,mavantwout,"[""20-step-ahead"",""seed4"",""single_run"",""4-year"",""20-predictions"",""shifted30"",""2D-prediction""]",90,4,linearfit260,MSFT,0.04547719506365335,106.392,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-176,2021-08-04 16:07:22,mavantwout,"[""shifted30"",""single_run"",""2D-prediction"",""4-year"",""20-predictions"",""seed4"",""20-step-ahead""]",90,4,cubicfit260,MSFT,0.020226537460145275,106.334,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-175,2021-08-04 16:06:57,mavantwout,"[""20-step-ahead"",""4-year"",""single_run"",""20-predictions"",""shifted30"",""2D-prediction"",""seed4""]",90,4,meanlast260,MSFT,0.02421828133389135,101.114,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-174,2021-08-04 16:06:56,mavantwout,"[""4-year"",""20-predictions"",""2D-prediction"",""seed4"",""single_run"",""shifted30"",""20-step-ahead""]",33,4,globalmean,MSFT,0.07289072542705421,101.218,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-173,2021-08-04 16:06:55,mavantwout,"[""20-predictions"",""single_run"",""20-step-ahead"",""seed4"",""2D-prediction"",""shifted30"",""4-year""]",33,4,cubicfit260,MSFT,0.032686312403934895,101.325,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-172,2021-08-04 16:06:51,mavantwout,"[""20-step-ahead"",""20-predictions"",""shifted30"",""seed4"",""2D-prediction"",""single_run"",""4-year""]",33,4,meanlast260,MSFT,0.02806571074837172,96.376,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-171,2021-08-04 16:06:51,mavantwout,"[""2D-prediction"",""single_run"",""20-predictions"",""seed4"",""4-year"",""shifted30"",""20-step-ahead""]",33,4,linearfit260,MSFT,0.0240308765223646,96.386,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
