Date,Close,Close_ahead30,Close_ahead30_missing90,Close_ahead30_missing90_imputed
03/01/2017,41.79999924,40.43999863,40.43999863,40.43999863
04/01/2017,41.65000153,41.20000076,,40.43999863
05/01/2017,41.75,41.22999954,,40.43999863
06/01/2017,41.74000168,41.45999908,,40.43999863
09/01/2017,41.31999969,41.59999847,,40.43999863
10/01/2017,41.04000092,41.65999985,,40.43999863
11/01/2017,41.04999924,41.77999878,,40.43999863
12/01/2017,40.95000076,41.66999817,,40.43999863
13/01/2017,40.88000107,41.95999908,,40.43999863
17/01/2017,41.22000122,42.15999985,,40.43999863
18/01/2017,41.29000092,42.47000122,42.47000122,42.47000122
19/01/2017,41.13999939,42.47999954,,42.47000122
20/01/2017,41.31999969,42.18000031,,42.47000122
23/01/2017,41.43000031,41.99000168,,42.47000122
24/01/2017,41.90000153,41.99000168,,42.47000122
25/01/2017,42.11999893,42.02999878,,42.47000122
26/01/2017,41.81000137,42.29000092,,42.47000122
27/01/2017,41.45000076,42.02999878,,42.47000122
30/01/2017,41.38000107,41.97000122,,42.47000122
31/01/2017,41.56999969,42.11999893,,42.47000122
01/02/2017,41.25999832,42.25,42.25,42.25
02/02/2017,41.40000153,42.02999878,,42.25
03/02/2017,41.54000092,42.18000031,,42.25
06/02/2017,41.56000137,42.5,,42.25
07/02/2017,41.90000153,42.38000107,,42.25
08/02/2017,42.02000046,42.16999817,,42.25
09/02/2017,41.25,42.11999893,,42.25
10/02/2017,40.58000183,42.31999969,,42.25
13/02/2017,40.61999893,42.43000031,,42.25
14/02/2017,40.52999878,42.41999817,,42.25
15/02/2017,40.43999863,42.59999847,42.59999847,42.59999847
16/02/2017,41.20000076,42.43999863,,42.59999847
17/02/2017,41.22999954,42.40999985,,42.59999847
21/02/2017,41.45999908,42.68000031,,42.59999847
22/02/2017,41.59999847,42.56999969,,42.59999847
23/02/2017,41.65999985,42.66999817,,42.59999847
24/02/2017,41.77999878,42.61000061,,42.59999847
27/02/2017,41.66999817,42.68999863,,42.59999847
28/02/2017,41.95999908,42.65999985,,42.59999847
01/03/2017,42.15999985,42.93999863,,42.59999847
02/03/2017,42.47000122,42.79000092,42.79000092,42.79000092
03/03/2017,42.47999954,43.06999969,,42.79000092
06/03/2017,42.18000031,43.47999954,,42.79000092
07/03/2017,41.99000168,43.22999954,,42.79000092
08/03/2017,41.99000168,43.09000015,,42.79000092
09/03/2017,42.02999878,43.06999969,,42.79000092
10/03/2017,42.29000092,43.27999878,,42.79000092
13/03/2017,42.02999878,43.11000061,,42.79000092
14/03/2017,41.97000122,43.24000168,,42.79000092
15/03/2017,42.11999893,43.00999832,,42.79000092
16/03/2017,42.25,43.15000153,43.15000153,43.15000153
17/03/2017,42.02999878,43.22000122,,43.15000153
20/03/2017,42.18000031,43.38999939,,43.15000153
21/03/2017,42.5,43.31999969,,43.15000153
22/03/2017,42.38000107,43.65999985,,43.15000153
23/03/2017,42.16999817,43.68999863,,43.15000153
24/03/2017,42.11999893,43.88999939,,43.15000153
27/03/2017,42.31999969,43.50999832,,43.15000153
28/03/2017,42.43000031,43.56999969,,43.15000153
29/03/2017,42.41999817,43.66999817,,43.15000153
30/03/2017,42.59999847,43.59000015,43.59000015,43.59000015
31/03/2017,42.43999863,43.72999954,,43.59000015
03/04/2017,42.40999985,43.84999847,,43.59000015
04/04/2017,42.68000031,43.93000031,,43.59000015
05/04/2017,42.56999969,43.79999924,,43.59000015
06/04/2017,42.66999817,43.90000153,,43.59000015
07/04/2017,42.61000061,44.18000031,,43.59000015
10/04/2017,42.68999863,44.38999939,,43.59000015
11/04/2017,42.65999985,45.02999878,,43.59000015
12/04/2017,42.93999863,45.40999985,,43.59000015
13/04/2017,42.79000092,45.38999939,45.38999939,45.38999939
17/04/2017,43.06999969,45.43000031,,45.38999939
18/04/2017,43.47999954,45.47000122,,45.38999939
19/04/2017,43.22999954,45.79000092,,45.38999939
20/04/2017,43.09000015,45.88999939,,45.38999939
21/04/2017,43.06999969,45.99000168,,45.38999939
24/04/2017,43.27999878,45.97999954,,45.38999939
25/04/2017,43.11000061,45.50999832,,45.38999939
26/04/2017,43.24000168,45.13000107,,45.38999939
27/04/2017,43.00999832,45.31999969,,45.38999939
28/04/2017,43.15000153,45.33000183,45.33000183,45.33000183
01/05/2017,43.22000122,45.02999878,,45.33000183
02/05/2017,43.38999939,45.29999924,,45.33000183
03/05/2017,43.31999969,45.25,,45.33000183
04/05/2017,43.65999985,45.31000137,,45.33000183
05/05/2017,43.68999863,45.38000107,,45.33000183
08/05/2017,43.88999939,45.61000061,,45.33000183
09/05/2017,43.50999832,45.22000122,,45.33000183
10/05/2017,43.56999969,45.06999969,,45.33000183
11/05/2017,43.66999817,45.25,,45.33000183
12/05/2017,43.59000015,45.43000031,45.43000031,45.43000031
15/05/2017,43.72999954,45.04999924,,45.43000031
16/05/2017,43.84999847,45.31999969,,45.43000031
