Date,Close,Close_ahead30,Close_ahead30_missing33,Close_ahead30_missing33_forwardfill,Close_ahead30_missing33_globalmean,Close_ahead30_missing33_meanlast30,Close_ahead30_missing33_linearfit30,Close_ahead30_missing33_cubicfit30
03/01/2017,41.79999924,40.43999863,40.43999863,40.43999863,40.43999863,40.43999863,40.43999863,40.43999863
04/01/2017,41.65000153,41.20000076,41.20000076,41.20000076,41.20000076,41.20000076,41.20000076,41.20000076
05/01/2017,41.75,41.22999954,,41.20000076,40.819999695,40.819999695,41.960002889999984,41.960002889999984
06/01/2017,41.74000168,41.45999908,41.45999908,41.45999908,41.45999908,41.45999908,41.45999908,41.45999908
09/01/2017,41.31999969,41.59999847,41.59999847,41.59999847,41.59999847,41.59999847,41.59999847,41.59999847
10/01/2017,41.04000092,41.65999985,,41.59999847,41.174999235,41.174999235,41.948998635,42.17333348000002
11/01/2017,41.04999924,41.77999878,41.77999878,41.77999878,41.77999878,41.77999878,41.77999878,41.77999878
12/01/2017,40.95000076,41.66999817,41.66999817,41.66999817,41.66999817,41.66999817,41.66999817,41.66999817
13/01/2017,40.88000107,41.95999908,,41.66999817,41.358332315000006,41.358332315000006,42.0573314912,41.90392823922549
17/01/2017,41.22000122,42.15999985,42.15999985,42.15999985,42.15999985,42.15999985,42.15999985,42.15999985
18/01/2017,41.29000092,42.47000122,42.47000122,42.47000122,42.47000122,42.47000122,42.47000122,42.47000122
19/01/2017,41.13999939,42.47999954,,42.47000122,41.59749937000001,41.59749937000001,42.54902161782609,43.104001705750804
20/01/2017,41.31999969,42.18000031,42.18000031,42.18000031,42.18000031,42.18000031,42.18000031,42.18000031
23/01/2017,41.43000031,41.99000168,41.99000168,41.99000168,41.99000168,41.99000168,41.99000168,41.99000168
24/01/2017,41.90000153,41.99000168,,41.99000168,41.694999695,41.694999695,42.53109673547946,42.01243850110039
25/01/2017,42.11999893,42.02999878,42.02999878,42.02999878,42.02999878,42.02999878,42.02999878,42.02999878
26/01/2017,41.81000137,42.29000092,42.29000092,42.29000092,42.29000092,42.29000092,42.29000092,42.29000092
27/01/2017,41.45000076,42.02999878,,42.29000092,41.77249972083334,41.77249972083333,42.54938740139935,42.18903986103587
30/01/2017,41.38000107,41.97000122,41.97000122,41.97000122,41.97000122,41.97000122,41.97000122,41.97000122
31/01/2017,41.56999969,42.11999893,42.11999893,42.11999893,42.11999893,42.11999893,42.11999893,42.11999893
01/02/2017,41.25999832,42.25,,42.11999893,41.81142834285714,41.81142834285714,42.48239461754681,42.06507224338934
02/02/2017,41.40000153,42.02999878,42.02999878,42.02999878,42.02999878,42.02999878,42.02999878,42.02999878
03/02/2017,41.54000092,42.18000031,42.18000031,42.18000031,42.18000031,42.18000031,42.18000031,42.18000031
06/02/2017,41.56000137,42.5,,42.18000031,41.848124743125,41.848124743125,42.458704205546034,42.17545973058373
07/02/2017,41.90000153,42.38000107,42.38000107,42.38000107,42.38000107,42.38000107,42.38000107,42.38000107
08/02/2017,42.02000046,42.16999817,42.16999817,42.16999817,42.16999817,42.16999817,42.16999817,42.16999817
09/02/2017,41.25,42.11999893,,42.16999817,41.895555285,41.895555285,42.5031489972199,42.40402575287158
10/02/2017,40.58000183,42.31999969,42.31999969,42.31999969,42.31999969,42.31999969,42.31999969,42.31999969
13/02/2017,40.61999893,42.43000031,42.43000031,42.43000031,42.43000031,42.43000031,42.43000031,42.43000031
14/02/2017,40.52999878,42.41999817,,42.43000031,41.9434997565,41.9434997565,42.56574843935234,42.60754164802129
15/02/2017,40.43999863,42.59999847,42.59999847,42.59999847,42.59999847,42.59999847,42.59999847,42.59999847
16/02/2017,41.20000076,42.43999863,42.43999863,42.43999863,42.43999863,42.43999863,42.43999863,42.43999863
17/02/2017,41.22999954,42.40999985,,42.43999863,41.99590873772728,42.113499642,42.514573469919455,42.731069247254624
